target,partner,source
SOX10 (6663),PAX3 (5077),ppi
SOX10 (6663),HIVEP1 (3096),ppi
SOX10 (6663),POU3F2 (5454),ppi
SOX10 (6663),JUN (3725),ppi
SOX10 (6663),HOXA3 (3200),ppi
SOX10 (6663),GSK3B (2932),ppi
SOX10 (6663),POU3F4 (5456),ppi
SOX10 (6663),CEBPA (1050),ppi
SOX10 (6663),MEOX1 (4222),ppi
SOX10 (6663),POU3F3 (5455),ppi
SOX10 (6663),HOXB3 (3213),ppi
SPTA1 (6708),NRAS (4893),ppi
SPTAN1 (6709),NRAS (4893),ppi
SPTB (6710),NRAS (4893),ppi
SPTBN1 (6711),NRAS (4893),ppi
SRI (6717),NRAS (4893),ppi
BRCA1 (672),MAP4K4 (9448),ppi
BRAF (673),NRAS (4893),ppi
BTC (685),NRAS (4893),ppi
TAF1 (6872),NRAS (4893),ppi
BTF3 (689),NRAS (4893),ppi
HNF1B (6928),HNF1A (6927),ppi
HNF1B (6928),ATF1 (466),ppi
HNF1B (6928),CREB1 (1385),ppi
TCF12 (6938),SOX10 (6663),ppi
TEK (7010),NRAS (4893),ppi
NR2E1 (7101),MED1 (5469),ppi
UBA52 (7311),NRAS (4893),ppi
UBB (7314),NRAS (4893),ppi
UBC (7316),MAP4K4 (9448),ppi
UBC (7316),NRAS (4893),ppi
UBE2I (7329),SOX10 (6663),ppi
SUMO1 (7341),SOX10 (6663),ppi
UBP1 (7342),MED1 (5469),ppi
EZR (7430),MAP4K4 (9448),ppi
CORO2A (7464),NRAS (4893),ppi
XPA (7507),NRAS (4893),ppi
YWHAB (7529),NRAS (4893),ppi
LUZP1 (7798),MED1 (5469),ppi
MAPKAPK3 (7867),NRAS (4893),ppi
TBL1XR1 (79718),MED1 (5469),ppi
STN1 (79991),MED1 (5469),ppi
NR4A3 (8013),MED1 (5469),ppi
MED28 (80306),MED1 (5469),ppi
SHOC2 (8036),NRAS (4893),ppi
CALM2 (805),NRAS (4893),ppi
FGF23 (8074),NRAS (4893),ppi
CAMK2A (815),NRAS (4893),ppi
CAMK2B (816),NRAS (4893),ppi
UNC93B1 (81622),SURF4 (6836),ppi
UNC93B1 (81622),YIPF3 (25844),ppi
UNC93B1 (81622),STT3A (3703),ppi
UNC93B1 (81622),CCDC47 (57003),ppi
UNC93B1 (81622),CLPTM1L (81037),ppi
UNC93B1 (81622),LPGAT1 (9926),ppi
UNC93B1 (81622),FASTKD5 (60493),ppi
UNC93B1 (81622),ABCC1 (4363),ppi
UNC93B1 (81622),DDOST (1650),ppi
UNC93B1 (81622),CLPTM1 (1209),ppi
UNC93B1 (81622),HM13 (81502),ppi
UNC93B1 (81622),IRAK1 (3654),ppi
UNC93B1 (81622),TCTN3 (26123),ppi
UNC93B1 (81622),YIPF5 (81555),ppi
UNC93B1 (81622),UBC (7316),ppi
UNC93B1 (81622),MBOAT7 (79143),ppi
UNC93B1 (81622),TM9SF2 (9375),ppi
UNC93B1 (81622),SCAMP3 (10067),ppi
UNC93B1 (81622),TLR3 (7098),ppi
UNC93B1 (81622),PIGN (23556),ppi
UNC93B1 (81622),NPC1 (4864),ppi
UNC93B1 (81622),ANKHD1 (54882),ppi
UNC93B1 (81622),CDIPT (10423),ppi
UNC93B1 (81622),STT3B (201595),ppi
CAMK2D (817),NRAS (4893),ppi
CAMK2G (818),NRAS (4893),ppi
MED25 (81857),MED1 (5469),ppi
NCOA3 (8202),MED1 (5469),ppi
TRRAP (8295),MED1 (5469),ppi
BRAP (8315),NRAS (4893),ppi
HIST2H2BE (8349),MAP4K4 (9448),ppi
HIST1H3J (8356),HNF1B (6928),ppi
RASSF5 (83593),NRAS (4893),ppi
TRAPPC9 (83696),MAP4K4 (9448),ppi
SPNS1 (83985),UNC93B1 (81622),ppi
MED10 (84246),MED1 (5469),ppi
UTF1 (8433),SOX10 (6663),ppi
TMEM185A (84548),NRAS (4893),ppi
C9orf3 (84909),NRAS (4893),ppi
HELZ2 (85441),MED1 (5469),ppi
NCOA1 (8648),MED1 (5469),ppi
IRS2 (8660),NRAS (4893),ppi
ACTN2 (88),NRAS (4893),ppi
SYNGAP1 (8831),NRAS (4893),ppi
KSR1 (8844),NRAS (4893),ppi
KAT2B (8850),HNF1B (6928),ppi
SPHK1 (8877),NRAS (4893),ppi
HERC1 (8925),SOX10 (6663),ppi
ACVR1 (90),NRAS (4893),ppi
MED30 (90390),MED1 (5469),ppi
ARTN (9048),NRAS (4893),ppi
NMI (9111),SOX10 (6663),ppi
BTF3L4 (91408),NRAS (4893),ppi
CTDP1 (9150),MED1 (5469),ppi
MOB1B (92597),MAP4K4 (9448),ppi
TRIP4 (9325),MED1 (5469),ppi
KL (9365),NRAS (4893),ppi
MED23 (9439),MED1 (5469),ppi
MED17 (9440),MED1 (5469),ppi
MED27 (9442),MED1 (5469),ppi
QKI (9444),MED1 (5469),ppi
MAP4K4 (9448),STRN (6801),ppi
MAP4K4 (9448),MAP3K7 (6885),ppi
MAP4K4 (9448),HEPACAM2 (253012),ppi
MAP4K4 (9448),XPO1 (7514),ppi
MAP4K4 (9448),NCK2 (8440),ppi
MAP4K4 (9448),CEP290 (80184),ppi
MAP4K4 (9448),CEP152 (22995),ppi
MAP4K4 (9448),OBSL1 (23363),ppi
RASAL2 (9462),NRAS (4893),ppi
MED20 (9477),MED1 (5469),ppi
NCOR2 (9612),MED1 (5469),ppi
ABCG1 (9619),MAP4K4 (9448),ppi
TGS1 (96764),MED1 (5469),ppi
GREB1 (9687),MED1 (5469),ppi
RAPGEF2 (9693),NRAS (4893),ppi
TRIL (9865),TLR3 (7098),ppi
THRAP3 (9967),MED1 (5469),ppi
MED12 (9968),MED1 (5469),ppi
MED13 (9969),MED1 (5469),ppi
NR1H4 (9971),MED1 (5469),ppi
MED1 (5469),MED6 (10001),CORUM
MED1 (5469),CDK8 (1024),CORUM
MED1 (5469),MED8 (112950),CORUM
MED1 (5469),ACAD8 (27034),CORUM
MED1 (5469),MED4 (29079),CORUM
MED1 (5469),MED15 (51586),CORUM
MED6 (10001),MED1 (5469),CORUM
CDK8 (1024),MED1 (5469),CORUM
MED8 (112950),MED1 (5469),CORUM
ACAD8 (27034),MED1 (5469),CORUM
MED4 (29079),MED1 (5469),CORUM
MED15 (51586),MED1 (5469),CORUM
MED1 (5469),MED1 (5469),CORUM
MED25 (81857),MED1 (5469),CORUM
CCNC (892),MED1 (5469),CORUM
MED14 (9282),MED1 (5469),CORUM
MED21 (9412),MED1 (5469),CORUM
MED23 (9439),MED1 (5469),CORUM
MED17 (9440),MED1 (5469),CORUM
MED26 (9441),MED1 (5469),CORUM
MED7 (9443),MED1 (5469),CORUM
MED24 (9862),MED1 (5469),CORUM
MED12 (9968),MED1 (5469),CORUM
MED13 (9969),MED1 (5469),CORUM
MED1 (5469),MED25 (81857),CORUM
MED1 (5469),CCNC (892),CORUM
MED1 (5469),MED14 (9282),CORUM
MED1 (5469),MED21 (9412),CORUM
MED1 (5469),MED23 (9439),CORUM
MED1 (5469),MED17 (9440),CORUM
MED1 (5469),MED26 (9441),CORUM
MED1 (5469),MED7 (9443),CORUM
MED1 (5469),MED24 (9862),CORUM
MED1 (5469),MED12 (9968),CORUM
MED1 (5469),MED13 (9969),CORUM
MED1 (5469),MED16 (10025),CORUM
MED16 (10025),MED1 (5469),CORUM
MED1 (5469),CDK9 (1025),CORUM
MED1 (5469),BRD4 (23476),CORUM
CDK9 (1025),MED1 (5469),CORUM
BRD4 (23476),MED1 (5469),CORUM
CCNT1 (904),MED1 (5469),CORUM
MED1 (5469),CCNT1 (904),CORUM
RXRB (6257),MED1 (5469),CORUM
VDR (7421),MED1 (5469),CORUM
MED1 (5469),RXRB (6257),CORUM
MED1 (5469),VDR (7421),CORUM
MED1 (5469),CDK7 (1022),CORUM
MED1 (5469),SUPT16H (11198),CORUM
MED1 (5469),EP300 (2033),CORUM
MED1 (5469),RBPJ (3516),CORUM
MED1 (5469),NOTCH1 (4851),CORUM
MED1 (5469),INPP5K (51763),CORUM
MED1 (5469),POLR2A (5430),CORUM
CDK7 (1022),MED1 (5469),CORUM
SUPT16H (11198),MED1 (5469),CORUM
EP300 (2033),MED1 (5469),CORUM
RBPJ (3516),MED1 (5469),CORUM
NOTCH1 (4851),MED1 (5469),CORUM
INPP5K (51763),MED1 (5469),CORUM
POLR2A (5430),MED1 (5469),CORUM
SUPT6H (6830),MED1 (5469),CORUM
MAML1 (9794),MED1 (5469),CORUM
MED1 (5469),SUPT6H (6830),CORUM
MED1 (5469),MAML1 (9794),CORUM
MED1 (5469),MED19 (219541),CORUM
MED1 (5469),CDK19 (23097),CORUM
MED1 (5469),MED13L (23389),CORUM
MED1 (5469),MED11 (400569),CORUM
MED1 (5469),OPA1 (4976),CORUM
MED1 (5469),MED31 (51003),CORUM
MED19 (219541),MED1 (5469),CORUM
CDK19 (23097),MED1 (5469),CORUM
MED13L (23389),MED1 (5469),CORUM
MED11 (400569),MED1 (5469),CORUM
OPA1 (4976),MED1 (5469),CORUM
MED31 (51003),MED1 (5469),CORUM
MED18 (54797),MED1 (5469),CORUM
MED9 (55090),MED1 (5469),CORUM
MED29 (55588),MED1 (5469),CORUM
MED22 (6837),MED1 (5469),CORUM
MED28 (80306),MED1 (5469),CORUM
MED10 (84246),MED1 (5469),CORUM
MED30 (90390),MED1 (5469),CORUM
MED27 (9442),MED1 (5469),CORUM
MED20 (9477),MED1 (5469),CORUM
MED1 (5469),MED18 (54797),CORUM
MED1 (5469),MED9 (55090),CORUM
MED1 (5469),MED29 (55588),CORUM
MED1 (5469),MED22 (6837),CORUM
MED1 (5469),MED28 (80306),CORUM
MED1 (5469),MED10 (84246),CORUM
MED1 (5469),MED30 (90390),CORUM
MED1 (5469),MED27 (9442),CORUM
MED1 (5469),MED20 (9477),CORUM
THRAP3 (9967),MED1 (5469),CORUM
MED1 (5469),THRAP3 (9967),CORUM
MED1 (5469),ESR1 (2099),CORUM
MED1 (5469),KAT2A (2648),CORUM
ESR1 (2099),MED1 (5469),CORUM
KAT2A (2648),MED1 (5469),CORUM
TRRAP (8295),MED1 (5469),CORUM
MED1 (5469),TRRAP (8295),CORUM
THRA (7067),MED1 (5469),CORUM
MED1 (5469),THRA (7067),CORUM
GP5 (2814),TRIL (9865),paralog
CHAD (1101),TRIL (9865),paralog
LRRTM3 (347731),TRIL (9865),paralog
UNC93A (54346),UNC93B1 (81622),paralog
SOX10 (6663),SOX8 (30812),paralog
SOX10 (6663),SOX9 (6662),paralog
SOX10 (6663),SOX15 (6665),paralog
SOX10 (6663),SRY (6736),paralog
SOX10 (6663),SOX3 (6658),paralog
SOX10 (6663),SOX21 (11166),paralog
SOX10 (6663),SOX2 (6657),paralog
SOX10 (6663),SOX14 (8403),paralog
SOX10 (6663),SOX1 (6656),paralog
SOX10 (6663),SOX11 (6664),paralog
SOX10 (6663),SOX4 (6659),paralog
SOX10 (6663),SOX12 (6666),paralog
SOX10 (6663),SOX18 (54345),paralog
SOX10 (6663),SOX7 (83595),paralog
SOX10 (6663),SOX17 (64321),paralog
CHADL (150356),TRIL (9865),paralog
RTN4RL2 (349667),TRIL (9865),paralog
CEACAM6 (4680),PSG7 (5676),paralog
REM1 (28954),NRAS (4893),paralog
PSG1 (5669),PSG7 (5676),paralog
CEACAM20 (125931),PSG7 (5676),paralog
LRRTM1 (347730),TRIL (9865),paralog
LRRTM2 (26045),TRIL (9865),paralog
REM2 (161253),NRAS (4893),paralog
SOX3 (6658),SOX10 (6663),paralog
CEACAM4 (1089),PSG7 (5676),paralog
MRAS (22808),NRAS (4893),paralog
SOX2 (6657),SOX10 (6663),paralog
LRIG1 (26018),TRIL (9865),paralog
F8A1 (8263),F8A2 (474383),paralog
F8A1 (8263),F8A3 (474384),paralog
SOX1 (6656),SOX10 (6663),paralog
CEACAM21 (90273),PSG7 (5676),paralog
IGFALS (3483),TRIL (9865),paralog
GEM (2669),NRAS (4893),paralog
TAOK1 (57551),MAP4K4 (9448),paralog
SOX12 (6666),SOX10 (6663),paralog
CEACAM18 (729767),PSG7 (5676),paralog
TNIK (23043),MAP4K4 (9448),paralog
CEACAM7 (1087),PSG7 (5676),paralog
PSG8 (440533),PSG7 (5676),paralog
F8A3 (474384),F8A1 (8263),paralog
F8A2 (474383),F8A1 (8263),paralog
CPN2 (1370),TRIL (9865),paralog
RRAS (6237),NRAS (4893),paralog
CEACAM5 (1048),PSG7 (5676),paralog
PSG7 (5676),PSG2 (5670),paralog
PSG7 (5676),PSG3 (5671),paralog
PSG7 (5676),PSG11 (5680),paralog
PSG7 (5676),PSG1 (5669),paralog
PSG7 (5676),PSG8 (440533),paralog
PSG7 (5676),PSG6 (5675),paralog
PSG7 (5676),PSG5 (5673),paralog
PSG7 (5676),PSG9 (5678),paralog
PSG7 (5676),PSG4 (5672),paralog
PSG7 (5676),CEACAM8 (1088),paralog
PSG7 (5676),CEACAM6 (4680),paralog
PSG7 (5676),CEACAM5 (1048),paralog
PSG7 (5676),CEACAM3 (1084),paralog
PSG7 (5676),CEACAM7 (1087),paralog
PSG7 (5676),CEACAM1 (634),paralog
PSG7 (5676),CEACAM4 (1089),paralog
PSG7 (5676),CEACAM21 (90273),paralog
PSG7 (5676),CEACAM20 (125931),paralog
PSG7 (5676),CEACAM18 (729767),paralog
PSG7 (5676),CEACAM16 (388551),paralog
PSG6 (5675),PSG7 (5676),paralog
PSG2 (5670),PSG7 (5676),paralog
PSG5 (5673),PSG7 (5676),paralog
PSG4 (5672),PSG7 (5676),paralog
PSG11 (5680),PSG7 (5676),paralog
CEACAM16 (388551),PSG7 (5676),paralog
SOX21 (11166),SOX10 (6663),paralog
KDM2A (22992),KDM7A (80853),paralog
CEACAM3 (1084),PSG7 (5676),paralog
LRRTM4 (80059),TRIL (9865),paralog
FBXL19 (54620),KDM7A (80853),paralog
SOX9 (6662),SOX10 (6663),paralog
LRIG2 (9860),TRIL (9865),paralog
PSG9 (5678),PSG7 (5676),paralog
PSG3 (5671),PSG7 (5676),paralog
CEACAM1 (634),PSG7 (5676),paralog
CEACAM8 (1088),PSG7 (5676),paralog
RTN4RL1 (146760),TRIL (9865),paralog
PHF2 (5253),KDM7A (80853),paralog
SOX14 (8403),SOX10 (6663),paralog
RRAS2 (22800),NRAS (4893),paralog
KRAS (3845),NRAS (4893),paralog
KDM2B (84678),KDM7A (80853),paralog
AMY1A (276),AMY1C (278),paralog
AMY1A (276),AMY1B (277),paralog
AMY1A (276),AMY2A (279),paralog
AMY1A (276),AMY2B (280),paralog
LRRC15 (131578),TRIL (9865),paralog
SOX7 (83595),SOX10 (6663),paralog
NRK (203447),MAP4K4 (9448),paralog
SOX18 (54345),SOX10 (6663),paralog
HNF1B (6928),HNF1A (6927),paralog
LRIG3 (121227),TRIL (9865),paralog
HNF1A (6927),HNF1B (6928),paralog
RALA (5898),NRAS (4893),paralog
SOX8 (30812),SOX10 (6663),paralog
RALB (5899),NRAS (4893),paralog
MINK1 (50488),MAP4K4 (9448),paralog
MAP4K4 (9448),NRK (203447),paralog
MAP4K4 (9448),TNIK (23043),paralog
MAP4K4 (9448),MINK1 (50488),paralog
MAP4K4 (9448),TAOK1 (57551),paralog
MAP4K4 (9448),TAOK3 (51347),paralog
MAP4K4 (9448),TAOK2 (9344),paralog
UNC93B1 (81622),UNC93A (54346),paralog
RRAD (6236),NRAS (4893),paralog
KDM7A (80853),PHF2 (5253),paralog
KDM7A (80853),PHF8 (23133),paralog
KDM7A (80853),KDM2B (84678),paralog
KDM7A (80853),KDM2A (22992),paralog
KDM7A (80853),FBXL19 (54620),paralog
ERAS (3266),NRAS (4893),paralog
AMY2A (279),AMY1A (276),paralog
SOX4 (6659),SOX10 (6663),paralog
NRAS (4893),KRAS (3845),paralog
NRAS (4893),HRAS (3265),paralog
NRAS (4893),ERAS (3266),paralog
NRAS (4893),RALA (5898),paralog
NRAS (4893),RRAD (6236),paralog
NRAS (4893),RALB (5899),paralog
NRAS (4893),GEM (2669),paralog
NRAS (4893),REM1 (28954),paralog
NRAS (4893),REM2 (161253),paralog
NRAS (4893),MRAS (22808),paralog
NRAS (4893),RRAS (6237),paralog
NRAS (4893),RRAS2 (22800),paralog
RTN4R (65078),TRIL (9865),paralog
SRY (6736),SOX10 (6663),paralog
HRAS (3265),NRAS (4893),paralog
SOX17 (64321),SOX10 (6663),paralog
SOX15 (6665),SOX10 (6663),paralog
LRRC70 (100130733),TRIL (9865),paralog
NYX (60506),TRIL (9865),paralog
TRIL (9865),CHADL (150356),paralog
TRIL (9865),CHAD (1101),paralog
TRIL (9865),NYX (60506),paralog
TRIL (9865),RTN4R (65078),paralog
TRIL (9865),RTN4RL1 (146760),paralog
TRIL (9865),RTN4RL2 (349667),paralog
TRIL (9865),LRRC70 (100130733),paralog
TRIL (9865),LRRTM3 (347731),paralog
TRIL (9865),LRRTM2 (26045),paralog
TRIL (9865),LRRTM1 (347730),paralog
TRIL (9865),LRRTM4 (80059),paralog
TRIL (9865),IGFALS (3483),paralog
TRIL (9865),CPN2 (1370),paralog
TRIL (9865),GP5 (2814),paralog
TRIL (9865),LRRC15 (131578),paralog
TRIL (9865),LRIG2 (9860),paralog
TRIL (9865),LRIG1 (26018),paralog
TRIL (9865),LRIG3 (121227),paralog
AMY2B (280),AMY1A (276),paralog
AMY1C (278),AMY1A (276),paralog
TAOK3 (51347),MAP4K4 (9448),paralog
TAOK2 (9344),MAP4K4 (9448),paralog
AMY1B (277),AMY1A (276),paralog
PHF8 (23133),KDM7A (80853),paralog
SOX11 (6664),SOX10 (6663),paralog
FAKE_TARGET,SOX10 (6663),paralog
SOX11 (6664),FAKE_PARTNER,paralog