feature_id,feature_name,dataset,gene_symbol,entrez_id
AML_Lin,AML,Lin,,
bone_Lin,bone,Lin,,
colorectal_Lin,colorectal,Lin,,
lung_Lin,lung,Lin,,
melanoma_Lin,melanoma,Lin,,
osteosarcoma_Lin,osteosarcoma,Lin,,
skin_Lin,skin,Lin,,
urinary_tract_Lin,urinary_tract,Lin,,
AMY1A_(276)_MutDam,AMY1A (276),MutDam,AMY1A,276
C1orf74_(148304)_MutDam,C1orf74 (148304),MutDam,C1orf74,148304
HNF1B_(6928)_MutDam,HNF1B (6928),MutDam,HNF1B,6928
MAP4K4_(9448)_MutDam,MAP4K4 (9448),MutDam,MAP4K4,9448
MED1_(5469)_MutDam,MED1 (5469),MutDam,MED1,5469
NRAS_(4893)_MutDam,NRAS (4893),MutDam,NRAS,4893
SOX10_(6663)_MutDam,SOX10 (6663),MutDam,SOX10,6663
SWI5_(375757)_MutDam,SWI5 (375757),MutDam,SWI5,375757
UNC93B1_(81622)_MutDam,UNC93B1 (81622),MutDam,UNC93B1,81622
AMY1A_(276)_MutDrv,AMY1A (276),MutDrv,AMY1A,276
C1orf74_(148304)_MutDrv,C1orf74 (148304),MutDrv,C1orf74,148304
F8A1_(8263)_MutDrv,F8A1 (8263),MutDrv,F8A1,8263
HNF1B_(6928)_MutDrv,HNF1B (6928),MutDrv,HNF1B,6928
MAP4K4_(9448)_MutDrv,MAP4K4 (9448),MutDrv,MAP4K4,9448
MED1_(5469)_MutDrv,MED1 (5469),MutDrv,MED1,5469
NRAS_(4893)_MutDrv,NRAS (4893),MutDrv,NRAS,4893
SOX10_(6663)_MutDrv,SOX10 (6663),MutDrv,SOX10,6663
SWI5_(375757)_MutDrv,SWI5 (375757),MutDrv,SWI5,375757
UNC93B1_(81622)_MutDrv,UNC93B1 (81622),MutDrv,UNC93B1,81622
NRAS_(4893)_MutHot,NRAS (4893),MutHot,NRAS,4893
SOX10_(6663)_MutHot,SOX10 (6663),MutHot,SOX10,6663
SWI5_(375757)_MutHot,SWI5 (375757),MutHot,SWI5,375757
HNF1B_17_36105069_36106069_RRBS,HNF1B_17_36105069_36106069,RRBS,,
KDM7A_7_139876741_139877741_RRBS,KDM7A_7_139876741_139877741,RRBS,,
MAP4K4_2_102313164_102314164_RRBS,MAP4K4_2_102313164_102314164,RRBS,,
MAP4K4_2_102313537_102314537_RRBS,MAP4K4_2_102313537_102314537,RRBS,,
MED1_17_37607527_37608527_RRBS,MED1_17_37607527_37608527,RRBS,,
MIR3613_13_50570637_50571637_RRBS,MIR3613_13_50570637_50571637,RRBS,,
SOX10_22_38380539_38381539_RRBS,SOX10_22_38380539_38381539,RRBS,,
SWI5_9_131037424_131038424_RRBS,SWI5_9_131037424_131038424,RRBS,,
TRIL_7_28998029_28999029_RRBS,TRIL_7_28998029_28999029,RRBS,,
UNC93B1_11_67771595_67772595_RRBS,UNC93B1_11_67771595_67772595,RRBS,,
NRAS_(N_Ras)_RPPA,NRAS (N-Ras),RPPA,,
AMY1A_(276)_RNAseq,AMY1A (276),RNAseq,AMY1A,276
ANOS1_(3730)_RNAseq,ANOS1 (3730),RNAseq,ANOS1,3730
C1orf74_(148304)_RNAseq,C1orf74 (148304),RNAseq,C1orf74,148304
F8A1_(8263)_RNAseq,F8A1 (8263),RNAseq,F8A1,8263
HNF1B_(6928)_RNAseq,HNF1B (6928),RNAseq,HNF1B,6928
KDM7A_(80853)_RNAseq,KDM7A (80853),RNAseq,KDM7A,80853
MAP4K4_(9448)_RNAseq,MAP4K4 (9448),RNAseq,MAP4K4,9448
MED1_(5469)_RNAseq,MED1 (5469),RNAseq,MED1,5469
NRAS_(4893)_RNAseq,NRAS (4893),RNAseq,NRAS,4893
PSG7_(5676)_RNAseq,PSG7 (5676),RNAseq,PSG7,5676
SOX10_(6663)_RNAseq,SOX10 (6663),RNAseq,SOX10,6663
SWI5_(375757)_RNAseq,SWI5 (375757),RNAseq,SWI5,375757
TNS2_(23371)_RNAseq,TNS2 (23371),RNAseq,TNS2,23371
TRIL_(9865)_RNAseq,TRIL (9865),RNAseq,TRIL,9865
UNC93B1_(81622)_RNAseq,UNC93B1 (81622),RNAseq,UNC93B1,81622
2_aminoadipate_metabolomics,2-aminoadipate,metabolomics,,
3_phosphoglycerate_metabolomics,3-phosphoglycerate,metabolomics,,
alpha_glycerophosphate_metabolomics,alpha-glycerophosphate,metabolomics,,
4_pyridoxate_metabolomics,4-pyridoxate,metabolomics,,
aconitate_metabolomics,aconitate,metabolomics,,
adenine_metabolomics,adenine,metabolomics,,
adipate_metabolomics,adipate,metabolomics,,
alpha_ketoglutarate_metabolomics,alpha-ketoglutarate,metabolomics,,
AMP_metabolomics,AMP,metabolomics,,
citrate_metabolomics,citrate,metabolomics,,
isocitrate_metabolomics,isocitrate,metabolomics,,
CMP_metabolomics,CMP,metabolomics,,
cystathionine_metabolomics,cystathionine,metabolomics,,
cytidine_metabolomics,cytidine,metabolomics,,
dCMP_metabolomics,dCMP,metabolomics,,
DHAP/glyceraldehyde_3P_metabolomics,DHAP/glyceraldehyde 3P,metabolomics,,
erythrose_4_phosphate_metabolomics,erythrose-4-phosphate,metabolomics,,
F1P/F6P/G1P/G6P_metabolomics,F1P/F6P/G1P/G6P,metabolomics,,
hexoses_(HILIC_neg)_metabolomics,hexoses (HILIC neg),metabolomics,,
fumarate/maleate/alpha_ketoisovalerate_metabolomics,fumarate/maleate/alpha-ketoisovalerate,metabolomics,,
glucuronate_metabolomics,glucuronate,metabolomics,,
glutathione_oxidized_metabolomics,glutathione oxidized,metabolomics,,
glutathione_reduced_metabolomics,glutathione reduced,metabolomics,,
GMP_metabolomics,GMP,metabolomics,,
guanosine_metabolomics,guanosine,metabolomics,,
hippurate_metabolomics,hippurate,metabolomics,,
hypoxanthine_metabolomics,hypoxanthine,metabolomics,,
inosine_metabolomics,inosine,metabolomics,,
kynurenine_metabolomics,kynurenine,metabolomics,,
lactate_metabolomics,lactate,metabolomics,,
lactose_metabolomics,lactose,metabolomics,,
malate_metabolomics,malate,metabolomics,,
NAD_metabolomics,NAD,metabolomics,,
NADP_metabolomics,NADP,metabolomics,,
oxalate_metabolomics,oxalate,metabolomics,,
pantothenate_metabolomics,pantothenate,metabolomics,,
PEP_metabolomics,PEP,metabolomics,,
ribose_5_P/ribulose5_P_metabolomics,ribose-5-P/ribulose5-P,metabolomics,,
sorbitol_metabolomics,sorbitol,metabolomics,,
succinate/methylmalonate_metabolomics,succinate/methylmalonate,metabolomics,,
sucrose_metabolomics,sucrose,metabolomics,,
thymine_metabolomics,thymine,metabolomics,,
UMP_metabolomics,UMP,metabolomics,,
UDP_galactose/UDP_glucose_metabolomics,UDP-galactose/UDP-glucose,metabolomics,,
uracil_metabolomics,uracil,metabolomics,,
urate_metabolomics,urate,metabolomics,,
uridine_metabolomics,uridine,metabolomics,,
xanthine_metabolomics,xanthine,metabolomics,,
taurocholate_metabolomics,taurocholate,metabolomics,,
glycodeoxycholate/glycochenodeoxycholate_metabolomics,glycodeoxycholate/glycochenodeoxycholate,metabolomics,,
taurodeoxycholate/taurochenodeoxycholate_metabolomics,taurodeoxycholate/taurochenodeoxycholate,metabolomics,,
phosphocreatine_metabolomics,phosphocreatine,metabolomics,,
3_methyladipate/pimelate_metabolomics,3-methyladipate/pimelate,metabolomics,,
6_phosphogluconate_metabolomics,6-phosphogluconate,metabolomics,,
alpha_hydroxybutyrate_metabolomics,alpha-hydroxybutyrate,metabolomics,,
2_hydroxyglutarate_metabolomics,2-hydroxyglutarate,metabolomics,,
inositol_metabolomics,inositol,metabolomics,,
malondialdehyde_metabolomics,malondialdehyde,metabolomics,,
glycine_metabolomics,glycine,metabolomics,,
alanine_metabolomics,alanine,metabolomics,,
serine_metabolomics,serine,metabolomics,,
threonine_metabolomics,threonine,metabolomics,,
methionine_metabolomics,methionine,metabolomics,,
aspartate_metabolomics,aspartate,metabolomics,,
glutamate_metabolomics,glutamate,metabolomics,,
asparagine_metabolomics,asparagine,metabolomics,,
glutamine_metabolomics,glutamine,metabolomics,,
histidine_metabolomics,histidine,metabolomics,,
arginine_metabolomics,arginine,metabolomics,,
lysine_metabolomics,lysine,metabolomics,,
valine_metabolomics,valine,metabolomics,,
leucine_metabolomics,leucine,metabolomics,,
isoleucine_metabolomics,isoleucine,metabolomics,,
phenylalanine_metabolomics,phenylalanine,metabolomics,,
tyrosine_metabolomics,tyrosine,metabolomics,,
tryptophan_metabolomics,tryptophan,metabolomics,,
proline_metabolomics,proline,metabolomics,,
cis/trans_hydroxyproline_metabolomics,cis/trans-hydroxyproline,metabolomics,,
ornithine_metabolomics,ornithine,metabolomics,,
citrulline_metabolomics,citrulline,metabolomics,,
taurine_metabolomics,taurine,metabolomics,,
5_HIAA_metabolomics,5-HIAA,metabolomics,,
serotonin_metabolomics,serotonin,metabolomics,,
GABA_metabolomics,GABA,metabolomics,,
acetylglycine_metabolomics,acetylglycine,metabolomics,,
dimethylglycine_metabolomics,dimethylglycine,metabolomics,,
homocysteine_metabolomics,homocysteine,metabolomics,,
SDMA/ADMA_metabolomics,SDMA/ADMA,metabolomics,,
NMMA_metabolomics,NMMA,metabolomics,,
allantoin_metabolomics,allantoin,metabolomics,,
anthranilic_acid_metabolomics,anthranilic acid,metabolomics,,
kynurenic_acid_metabolomics,kynurenic acid,metabolomics,,
5_adenosylhomocysteine_metabolomics,5-adenosylhomocysteine,metabolomics,,
carnosine_metabolomics,carnosine,metabolomics,,
N_carbamoyl_beta_alanine_metabolomics,N-carbamoyl-beta-alanine,metabolomics,,
thiamine_metabolomics,thiamine,metabolomics,,
niacinamide_metabolomics,niacinamide,metabolomics,,
betaine_metabolomics,betaine,metabolomics,,
choline_metabolomics,choline,metabolomics,,
alpha_glycerophosphocholine_metabolomics,alpha-glycerophosphocholine,metabolomics,,
acetylcholine_metabolomics,acetylcholine,metabolomics,,
creatine_metabolomics,creatine,metabolomics,,
creatinine_metabolomics,creatinine,metabolomics,,
thyroxine_metabolomics,thyroxine,metabolomics,,
trimethylamine_N_oxide_metabolomics,trimethylamine-N-oxide,metabolomics,,
hexoses_(HILIC_pos)_metabolomics,hexoses (HILIC pos),metabolomics,,
adenosine_metabolomics,adenosine,metabolomics,,
thymidine_metabolomics,thymidine,metabolomics,,
xanthosine_metabolomics,xanthosine,metabolomics,,
2_deoxyadenosine_metabolomics,2-deoxyadenosine,metabolomics,,
2_deoxycytidine_metabolomics,2-deoxycytidine,metabolomics,,
cAMP_metabolomics,cAMP,metabolomics,,
cotinine_metabolomics,cotinine,metabolomics,,
pipecolic_acid_metabolomics,pipecolic acid,metabolomics,,
pyroglutamic_acid_metabolomics,pyroglutamic acid,metabolomics,,
1_methylnicotinamide_metabolomics,1-methylnicotinamide,metabolomics,,
butyrobetaine_metabolomics,butyrobetaine,metabolomics,,
putrescine_metabolomics,putrescine,metabolomics,,
methionine_sulfoxide_metabolomics,methionine sulfoxide,metabolomics,,
carnitine_metabolomics,carnitine,metabolomics,,
acetylcarnitine_metabolomics,acetylcarnitine,metabolomics,,
propionylcarnitine_metabolomics,propionylcarnitine,metabolomics,,
malonylcarnitine_metabolomics,malonylcarnitine,metabolomics,,
butyrylcarnitine/isobutyrylcarnitine_metabolomics,butyrylcarnitine/isobutyrylcarnitine,metabolomics,,
valerylcarnitine/isovalerylcarnitine/2_methylbutyroylcarnitine_metabolomics,valerylcarnitine/isovalerylcarnitine/2-methylbutyroylcarnitine,metabolomics,,
hexanoylcarnitine_metabolomics,hexanoylcarnitine,metabolomics,,
heptanoylcarnitine_metabolomics,heptanoylcarnitine,metabolomics,,
lauroylcarnitine_metabolomics,lauroylcarnitine,metabolomics,,
myristoylcarnitine_metabolomics,myristoylcarnitine,metabolomics,,
palmitoylcarnitine_metabolomics,palmitoylcarnitine,metabolomics,,
stearoylcarnitine_metabolomics,stearoylcarnitine,metabolomics,,
oleylcarnitine_metabolomics,oleylcarnitine,metabolomics,,
arachidonyl_carnitine_metabolomics,arachidonyl_carnitine,metabolomics,,
sarcosine_metabolomics,sarcosine,metabolomics,,
beta_alanine_metabolomics,beta-alanine,metabolomics,,
anserine_metabolomics,anserine,metabolomics,,
C14:0_LPC_metabolomics,C14:0 LPC,metabolomics,,
C16:1_LPC_metabolomics,C16:1 LPC,metabolomics,,
C16:0_LPC_metabolomics,C16:0 LPC,metabolomics,,
C18:2_LPC_metabolomics,C18:2 LPC,metabolomics,,
C18:1_LPC_metabolomics,C18:1 LPC,metabolomics,,
C18:0_LPC_metabolomics,C18:0 LPC,metabolomics,,
C20:4_LPC_metabolomics,C20:4 LPC,metabolomics,,
C20:3_LPC_metabolomics,C20:3 LPC,metabolomics,,
C22:6_LPC_metabolomics,C22:6 LPC,metabolomics,,
C16:0_LPE_metabolomics,C16:0 LPE,metabolomics,,
C18:1_LPE_metabolomics,C18:1 LPE,metabolomics,,
C18:0_LPE_metabolomics,C18:0 LPE,metabolomics,,
C20:4_LPE_metabolomics,C20:4 LPE,metabolomics,,
C22:6_LPE_metabolomics,C22:6 LPE,metabolomics,,
C32:2_PC_metabolomics,C32:2 PC,metabolomics,,
C32:1_PC_metabolomics,C32:1 PC,metabolomics,,
C32:0_PC_metabolomics,C32:0 PC,metabolomics,,
C34:4_PC_metabolomics,C34:4 PC,metabolomics,,
C34:3_PC_metabolomics,C34:3 PC,metabolomics,,
C34:2_PC_metabolomics,C34:2 PC,metabolomics,,
C34:1_PC_metabolomics,C34:1 PC,metabolomics,,
C36:4_PC_A_metabolomics,C36:4 PC-A,metabolomics,,
C36:4_PC_B_metabolomics,C36:4 PC-B,metabolomics,,
C36:3_PC_metabolomics,C36:3 PC,metabolomics,,
C36:2_PC_metabolomics,C36:2 PC,metabolomics,,
C36:1_PC_metabolomics,C36:1 PC,metabolomics,,
C38:6_PC_metabolomics,C38:6 PC,metabolomics,,
C38:5_PC_metabolomics,C38:5 PC,metabolomics,,
C38:4_PC_metabolomics,C38:4 PC,metabolomics,,
C38:2_PC_metabolomics,C38:2 PC,metabolomics,,
C40:6_PC_metabolomics,C40:6 PC,metabolomics,,
C14:0_SM_metabolomics,C14:0 SM,metabolomics,,
C16:1_SM_metabolomics,C16:1 SM,metabolomics,,
C16:0_SM_metabolomics,C16:0 SM,metabolomics,,
C18:2_SM_metabolomics,C18:2 SM,metabolomics,,
C18:1_SM_metabolomics,C18:1 SM,metabolomics,,
C18:0_SM_metabolomics,C18:0 SM,metabolomics,,
C22:1_SM_metabolomics,C22:1 SM,metabolomics,,
C22:0_SM_metabolomics,C22:0 SM,metabolomics,,
C24:1_SM_metabolomics,C24:1 SM,metabolomics,,
C24:0_SM_metabolomics,C24:0 SM,metabolomics,,
C34:2_DAG_metabolomics,C34:2 DAG,metabolomics,,
C34:1_DAG_metabolomics,C34:1 DAG,metabolomics,,
C36:2_DAG_metabolomics,C36:2 DAG,metabolomics,,
C36:1_DAG_metabolomics,C36:1 DAG,metabolomics,,
C14:0_CE_metabolomics,C14:0 CE,metabolomics,,
C16:1_CE_metabolomics,C16:1 CE,metabolomics,,
C16:0_CE_metabolomics,C16:0 CE,metabolomics,,
C18:3_CE_metabolomics,C18:3 CE,metabolomics,,
C18:2_CE_metabolomics,C18:2 CE,metabolomics,,
C18:1_CE_metabolomics,C18:1 CE,metabolomics,,
C18:0_CE_metabolomics,C18:0 CE,metabolomics,,
C20:5_CE_metabolomics,C20:5 CE,metabolomics,,
C20:4_CE_metabolomics,C20:4 CE,metabolomics,,
C20:3_CE_metabolomics,C20:3 CE,metabolomics,,
C22:6_CE_metabolomics,C22:6 CE,metabolomics,,
C46:2_TAG_metabolomics,C46:2 TAG,metabolomics,,
C46:1_TAG_metabolomics,C46:1 TAG,metabolomics,,
C46:0_TAG_metabolomics,C46:0 TAG,metabolomics,,
C48:3_TAG_metabolomics,C48:3 TAG,metabolomics,,
C48:2_TAG_metabolomics,C48:2 TAG,metabolomics,,
C48:1_TAG_metabolomics,C48:1 TAG,metabolomics,,
C48:0_TAG_metabolomics,C48:0 TAG,metabolomics,,
C50:3_TAG_metabolomics,C50:3 TAG,metabolomics,,
C50:2_TAG_metabolomics,C50:2 TAG,metabolomics,,
C50:1_TAG_metabolomics,C50:1 TAG,metabolomics,,
C50:0_TAG_metabolomics,C50:0 TAG,metabolomics,,
C52:5_TAG_metabolomics,C52:5 TAG,metabolomics,,
C52:4_TAG_metabolomics,C52:4 TAG,metabolomics,,
C52:3_TAG_metabolomics,C52:3 TAG,metabolomics,,
C52:2_TAG_metabolomics,C52:2 TAG,metabolomics,,
C52:1_TAG_metabolomics,C52:1 TAG,metabolomics,,
C54:7_TAG_metabolomics,C54:7 TAG,metabolomics,,
C54:6_TAG_metabolomics,C54:6 TAG,metabolomics,,
C54:5_TAG_metabolomics,C54:5 TAG,metabolomics,,
C54:4_TAG_metabolomics,C54:4 TAG,metabolomics,,
C54:3_TAG_metabolomics,C54:3 TAG,metabolomics,,
C54:2_TAG_metabolomics,C54:2 TAG,metabolomics,,
C54:1_TAG_metabolomics,C54:1 TAG,metabolomics,,
C56:8_TAG_metabolomics,C56:8 TAG,metabolomics,,
C56:7_TAG_metabolomics,C56:7 TAG,metabolomics,,
C56:6_TAG_metabolomics,C56:6 TAG,metabolomics,,
C56:5_TAG_metabolomics,C56:5 TAG,metabolomics,,
C56:4_TAG_metabolomics,C56:4 TAG,metabolomics,,
C56:3_TAG_metabolomics,C56:3 TAG,metabolomics,,
C56:2_TAG_metabolomics,C56:2 TAG,metabolomics,,
C58:8_TAG_metabolomics,C58:8 TAG,metabolomics,,
C58:7_TAG_metabolomics,C58:7 TAG,metabolomics,,
C58:6_TAG_metabolomics,C58:6 TAG,metabolomics,,
SSMD_rnai-confounders,SSMD,rnai-confounders,,
